,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD,Popularity,Popularity_Normalized
0,2019-05-11,BTCUSD,6337.9,6984.8,6337.9,6793.5,9855.87,66133073.75,48.125,4812.5
1,2019-05-10,BTCUSD,6151.4,6430.0,6110.1,6337.9,9872.86,62166515.28,36.958333333333336,3695.8333333333335
2,2019-05-09,BTCUSD,5939.6,6174.0,5933.2,6151.4,7405.18,44816872.39,34.708333333333336,3470.8333333333335
3,2019-05-08,BTCUSD,5744.0,5983.2,5660.0,5939.6,6007.11,35184697.52,31.16666666666667,3116.666666666667
4,2019-05-07,BTCUSD,5687.4,5955.8,5687.4,5906.7,3668.12,21496575.65,32.84,3284.0000000000005
5,2019-05-06,BTCUSD,5716.9,5752.0,5563.4,5687.4,5051.29,28606063.47,71.54166666666667,7154.166666666667
6,2019-05-05,BTCUSD,5763.5,5779.9,5627.6,5716.9,3377.09,19308851.06,69.16666666666667,6916.666666666667
7,2019-05-04,BTCUSD,5660.0,5840.0,5525.0,5763.5,8567.08,48882721.56,73.375,7337.5
8,2019-05-03,BTCUSD,5390.0,5796.0,5368.7,5660.0,10721.04,60486297.34,82.58333333333333,8258.333333333332
9,2019-05-02,BTCUSD,5323.3,5421.9,5309.6,5390.0,3889.24,20896996.14,63.875,6387.5
10,2019-05-01,BTCUSD,5272.2,5359.3,5270.0,5323.3,3469.49,18421340.25,61.08333333333334,6108.333333333334
11,2019-04-30,BTCUSD,5149.0,5297.0,5131.1,5272.2,4857.74,25384536.33,62.12,6212.0
12,2019-04-29,BTCUSD,5156.1,5194.2,5061.1,5149.0,4372.55,22506670.72,53.75,5375.0
13,2019-04-28,BTCUSD,5168.5,5215.4,5100.2,5156.1,2657.27,13721685.21,48.79166666666666,4879.166666666666
14,2019-04-27,BTCUSD,5153.0,5216.5,5116.7,5168.5,2868.55,14821166.99,51.75,5175.0
15,2019-04-26,BTCUSD,5128.7,5290.0,5043.3,5153.0,8979.17,46233903.21,65.54166666666667,6554.166666666667
16,2019-04-25,BTCUSD,5442.2,5510.5,4357.1,5128.7,11255.14,59191341.54,64.66666666666667,6466.666666666667
17,2019-04-24,BTCUSD,5525.4,5627.9,5375.3,5442.2,7884.92,43153149.57,68.75,6875.0
18,2019-04-23,BTCUSD,5384.0,5645.0,5363.3,5525.4,8384.74,46464963.08,75.96,7595.999999999999
19,2019-04-22,BTCUSD,5297.0,5453.3,5245.0,5384.0,5931.82,31723880.44,76.79166666666667,7679.166666666667
20,2019-04-21,BTCUSD,5316.5,5347.8,5200.0,5297.0,2941.35,15513436.89,69.54166666666667,6954.166666666667
21,2019-04-20,BTCUSD,5286.0,5359.0,5257.0,5316.5,2551.52,13551898.65,72.41666666666667,7241.666666666667
22,2019-04-19,BTCUSD,5282.8,5366.5,5191.9,5286.0,4019.04,21175349.22,75.125,7512.5
23,2019-04-18,BTCUSD,5224.9,5325.0,5222.1,5282.8,3538.22,18643725.08,78.95833333333333,7895.833333333333
24,2019-04-17,BTCUSD,5204.1,5300.0,5175.1,5224.9,3629.36,18957228.9,80.41666666666667,8041.666666666667
25,2019-04-16,BTCUSD,5034.8,5245.0,5017.9,5204.1,5313.73,27364272.91,78.16,7816.0
26,2019-04-15,BTCUSD,5158.4,5188.7,4942.8,5034.8,4722.15,23982181.98,71.70833333333333,7170.833333333333
27,2019-04-14,BTCUSD,5065.6,5190.1,5008.0,5158.4,2495.61,12719671.97,61.25,6125.0
28,2019-04-13,BTCUSD,5078.8,5122.0,5036.1,5065.6,2471.81,12558596.88,62.66666666666666,6266.666666666666
29,2019-04-12,BTCUSD,5041.7,5115.9,4920.0,5078.8,5355.41,26951930.53,74.29166666666667,7429.166666666667
30,2019-04-11,BTCUSD,5321.0,5343.4,4960.1,5041.7,8920.43,45612931.11,82.66666666666667,8266.666666666668
31,2019-04-10,BTCUSD,5190.8,5464.0,5167.8,5321.0,8788.86,46627468.38,82.29166666666667,8229.166666666668
32,2019-04-09,BTCUSD,5285.1,5287.7,5144.9,5190.8,5767.68,30068197.54,81.8,8180.0
33,2019-04-08,BTCUSD,5194.2,5359.8,5125.5,5285.1,7445.36,39014498.24,41.625,4162.5
34,2019-04-07,BTCUSD,5044.4,5270.0,5015.7,5194.2,5504.65,28354431.64,34.916666666666664,3491.6666666666665
35,2019-04-06,BTCUSD,5038.1,5240.0,4895.9,5044.4,5811.46,29494843.46,34.541666666666664,3454.1666666666665
36,2019-04-05,BTCUSD,4905.7,5091.9,4886.0,5038.1,5597.1,27955675.77,39.25,3925.0
37,2019-04-04,BTCUSD,4972.2,5075.1,4782.1,4905.7,10864.08,53873567.5,49.75,4975.0
38,2019-04-03,BTCUSD,4902.9,5362.7,4751.0,4972.2,20191.36,102261153.9,67.20833333333333,6720.833333333333
39,2019-04-02,BTCUSD,4137.8,5142.9,4133.1,4902.9,22864.85,107918909.3,61.24,6124.0
40,2019-04-01,BTCUSD,4095.2,4148.6,4051.7,4137.8,4663.54,19244291.8,44.54166666666666,4454.166666666666
41,2019-03-19,BTCUSD,3969.6,3984.7,3969.6,3975.4,111.31,442544.2,86.24,8624.0
42,2019-03-18,BTCUSD,3965.0,4019.9,3935.2,3969.6,3731.07,14819324.25,84.5,8450.0
43,2019-03-17,BTCUSD,3989.2,3989.6,3937.4,3965.0,1470.34,5825393.43,75.04166666666667,7504.166666666667
44,2019-03-16,BTCUSD,3900.2,4042.5,3899.7,3989.2,4434.09,17633446.99,81.95833333333333,8195.833333333332
45,2019-03-15,BTCUSD,3853.9,3909.8,3846.8,3900.2,2890.56,11221275.84,77.375,7737.5
46,2019-03-14,BTCUSD,3853.4,3907.0,3781.6,3853.9,3598.96,13853513.47,78.04166666666667,7804.166666666667
47,2019-03-13,BTCUSD,3863.1,3873.5,3826.2,3853.4,3013.72,11611708.37,79.54166666666667,7954.166666666667
48,2019-03-12,BTCUSD,3850.7,3879.6,3800.4,3863.1,3277.27,12616733.85,84.52,8452.0
49,2019-03-11,BTCUSD,3897.9,3911.2,3815.5,3850.7,3230.28,12460482.38,81.95833333333333,8195.833333333332
50,2019-03-10,BTCUSD,3919.2,3919.2,3863.7,3897.9,1449.9,5639163.28,76.25,7625.0
51,2019-03-09,BTCUSD,3844.3,3947.0,3836.7,3919.2,3290.71,12817724.64,79.83333333333333,7983.333333333333
52,2019-03-08,BTCUSD,3854.0,3910.0,3760.3,3844.3,4658.98,17999093.53,83.125,8312.5
